日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2023/09/26,臺股期貨,外資及陸資,53163,173897236,54259,177496070,-1096,-3598834,21111,68843075,27227,88787365,-6116,-19944290
2023/09/27,臺股期貨,自營商,10139,33022540,9972,32473883,167,548657,5193,16940102,5497,17931263,-304,-991161
2023/09/27,臺股期貨,投信,128,417607,119,387236,9,30371,14430,47073546,11647,37994843,2783,9078703
2023/09/27,臺股期貨,外資及陸資,50761,165308144,52900,172283684,-2139,-6975539,19878,64846062,28127,91755907,-8249,-26909845
2023/09/28,臺股期貨,自營商,8919,29166467,8462,27667778,457,1498690,5517,18059181,5345,17495630,172,563551
2023/09/28,臺股期貨,投信,317,1037698,88,287531,229,750167,14421,47205701,11409,37346221,3012,9859480
2023/09/28,臺股期貨,外資及陸資,56892,185978577,58731,192023700,-1839,-6045123,18970,62096492,29054,95105396,-10084,-33008904
2023/10/02,臺股期貨,自營商,8502,28081918,9401,31050836,-899,-2968918,5323,17624827,6281,20796472,-958,-3171645
2023/10/02,臺股期貨,投信,543,1798075,0,0,543,1798075,14626,48429611,11071,36658295,3555,11771316
2023/10/02,臺股期貨,外資及陸資,56715,187119842,53643,176970389,3072,10149454,21184,70144461,28196,93362451,-7012,-23217990
2023/10/03,臺股期貨,自營商,12020,39664715,10268,33884499,1752,5780216,6452,21176808,5685,18658687,767,2518121
2023/10/03,臺股期貨,投信,39,128041,259,850490,-220,-722449,14571,47824936,11236,36878799,3335,10946137
2023/10/03,臺股期貨,外資及陸資,56757,187333041,59590,196669993,-2833,-9336951,19886,65270520,29723,97557402,-9837,-32286882
2023/10/04,臺股期貨,自營商,14504,47215060,15452,50287471,-948,-3072411,5810,18877600,6124,19896946,-314,-1019346
2023/10/04,臺股期貨,投信,243,789837,689,2238845,-446,-1449009,14461,46983789,11572,37597428,2889,9386361
2023/10/04,臺股期貨,外資及陸資,71712,233506831,69244,225457183,2468,8049648,22047,71632301,30518,99154201,-8471,-27521900
