日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2023/09/25,小型臺指期貨,外資及陸資,78135,64086524,68087,55840774,10048,8245750,5159,4247086,9010,7417360,-3851,-3170274
2023/09/26,小型臺指期貨,自營商,12874,10527264,13621,11140553,-747,-613289,7215,5881839,10714,8732824,-3499,-2850985
2023/09/26,小型臺指期貨,投信,0,0,0,0,0,0,177,144299,20,16305,157,127994
2023/09/26,小型臺指期貨,外資及陸資,79486,65031973,86054,70404927,-6568,-5372954,1973,1608482,12460,10158015,-10487,-8549533
2023/09/27,小型臺指期貨,自營商,9702,7900424,10702,8713590,-1000,-813166,4574,3730193,8547,6967710,-3973,-3237517
2023/09/27,小型臺指期貨,投信,2,1631,0,0,2,1631,179,145983,20,16311,159,129672
2023/09/27,小型臺指期貨,外資及陸資,80602,65627180,80552,65580730,50,46450,862,703046,11564,9431026,-10702,-8727980
2023/09/28,小型臺指期貨,自營商,11239,9187431,10322,8436235,917,751196,4567,3737353,7699,6298189,-3132,-2560836
2023/09/28,小型臺指期貨,投信,1,818,0,0,1,818,179,146485,19,15549,160,130936
2023/09/28,小型臺指期貨,外資及陸資,92633,75705584,91065,74419256,1568,1286328,2158,1766107,11308,9253894,-9150,-7487787
2023/10/02,小型臺指期貨,自營商,11966,9871305,11323,9340074,643,531231,5718,4733089,7283,6025972,-1565,-1292883
2023/10/02,小型臺指期貨,投信,5,4139,0,0,5,4139,179,148176,14,11589,165,136587
2023/10/02,小型臺指期貨,外資及陸資,85762,70684823,77516,63868236,8246,6816587,6897,5709378,7801,6457581,-904,-748203
2023/10/03,小型臺指期貨,自營商,13264,10942738,12374,10206607,890,736132,6223,5106725,6790,5570270,-567,-463545
2023/10/03,小型臺指期貨,投信,2,1653,8,6567,-6,-4914,176,144417,17,13949,159,130468
2023/10/03,小型臺指期貨,外資及陸資,83892,69228463,95381,78701337,-11489,-9472874,2223,1824147,14648,12019491,-12425,-10195344
2023/10/04,小型臺指期貨,自營商,13544,11024552,16234,13216297,-2690,-2191745,5320,4321117,8180,6644206,-2860,-2323089
2023/10/04,小型臺指期貨,投信,0,0,0,0,0,0,176,142956,17,13808,159,129148
2023/10/04,小型臺指期貨,外資及陸資,96999,78988887,104052,84720189,-7053,-5731303,1497,1216085,16527,13424239,-15030,-12208154
2023/10/05,小型臺指期貨,自營商,16256,13320038,11184,9158284,5072,4161754,10283,8462244,8107,6668774,2176,1793470
2023/10/05,小型臺指期貨,投信,1,823,0,0,1,823,176,144822,16,13166,160,131656
2023/10/05,小型臺指期貨,外資及陸資,104280,85348036,87185,71313508,17095,14034527,6309,5191584,10412,8567607,-4103,-3376023
2023/10/06,小型臺指期貨,自營商,9648,7952034,9521,7843395,127,108639,9599,7933217,6780,5601199,2819,2332018
2023/10/06,小型臺指期貨,投信,1,826,0,0,1,826,176,145446,15,12396,161,133050
2023/10/06,小型臺指期貨,外資及陸資,84775,69865423,83580,68844181,1195,1021243,7662,6332119,10570,8735182,-2908,-2403063
2023/10/11,小型臺指期貨,自營商,19543,16272844,15503,12900331,4040,3372513,10494,8771156,5508,4601422,4986,4169734
2023/10/11,小型臺指期貨,投信,4,3340,0,0,4,3340,180,150428,15,12536,165,137892
2023/10/11,小型臺指期貨,外資及陸資,102712,85395743,98597,81956453,4115,3439290,9202,7690530,7765,6489369,1437,1201161
2023/10/12,小型臺指期貨,自營商,12422,10421030,11049,9261649,1373,1159381,13529,11400051,7378,6213682,6151,5186369
2023/10/12,小型臺指期貨,投信,57,48051,54,45478,3,2573,180,151664,12,10109,168,141555
2023/10/12,小型臺指期貨,外資及陸資,74585,62481816,68371,57239410,6214,5242405,7258,6114887,6551,5518769,707,596118
2023/10/13,小型臺指期貨,自營商,11508,9653660,13327,11178514,-1819,-1524854,7708,6464310,3524,2954165,4184,3510145
2023/10/13,小型臺指期貨,投信,46,38603,47,39418,-1,-815,180,151027,13,10914,167,140113
2023/10/13,小型臺指期貨,外資及陸資,70925,59491076,77833,65291321,-6908,-5800245,4601,3859503,10802,9058415,-6201,-5198912
2023/10/16,小型臺指期貨,自營商,12282,10242586,15419,12859217,-3137,-2616631,6538,5443078,5839,4861443,699,581635
2023/10/16,小型臺指期貨,投信,28,23330,12,9988,16,13342,199,165739,16,13330,183,152409
2023/10/16,小型臺指期貨,外資及陸資,89177,74357985,94280,78626720,-5103,-4268735,969,806759,12329,10263742,-11360,-9456983
2023/10/17,小型臺指期貨,自營商,14108,11791297,15859,13251082,-1751,-1459785,6900,5744976,7740,6446756,-840,-701780
2023/10/17,小型臺指期貨,投信,84,70048,80,66616,4,3432,203,169238,16,13339,187,155899
2023/10/17,小型臺指期貨,外資及陸資,76771,64168483,74270,62074204,2501,2094280,2558,2131365,11421,9509228,-8863,-7377863
2023/10/18,小型臺指期貨,自營商,24065,19931313,29692,24586506,-5627,-4655194,1948,1604038,11945,9834361,-9997,-8230323
2023/10/18,小型臺指期貨,投信,14,11530,29,23879,-15,-12349,185,152329,16,13174,169,139155
2023/10/18,小型臺指期貨,外資及陸資,97196,80575301,110763,91794125,-13567,-11218824,1757,1446713,6063,4992177,-4306,-3545464
2023/10/19,小型臺指期貨,自營商,7568,6219626,8748,7188730,-1180,-969104,3435,2827018,13588,11181547,-10153,-8354529
2023/10/19,小型臺指期貨,投信,0,0,6,4938,-6,-4938,179,147326,16,13169,163,134157
2023/10/19,小型臺指期貨,外資及陸資,89437,73504146,87179,71640043,2258,1864104,1815,1493839,3863,3179332,-2048,-1685493
2023/10/20,小型臺指期貨,自營商,15305,12565930,15048,12341224,257,224706,5298,4348233,15486,12707727,-10188,-8359494
2023/10/20,小型臺指期貨,投信,0,0,1,821,-1,-821,179,146905,17,13952,162,132953
2023/10/20,小型臺指期貨,外資及陸資,130213,106962988,131477,107957169,-1264,-994181,1714,1406677,5070,4160916,-3356,-2754239
2023/10/23,小型臺指期貨,自營商,7804,6370914,9615,7847767,-1811,-1476853,5124,4164996,16355,13292098,-11231,-9127102
2023/10/23,小型臺指期貨,投信,1,813,0,0,1,813,180,146304,17,13818,163,132486
2023/10/23,小型臺指期貨,外資及陸資,89248,72910895,100373,81984358,-11125,-9073463,794,645365,11023,8959561,-10229,-8314196
2023/10/24,小型臺指期貨,自營商,14044,11412482,13300,10804313,744,608169,3676,3001708,13891,11341327,-10215,-8339619
2023/10/24,小型臺指期貨,投信,0,0,10,8166,-10,-8166,170,138831,17,13883,153,124948
2023/10/24,小型臺指期貨,外資及陸資,136460,110901307,131226,106591157,5234,4310150,808,659854,5803,4738927,-4995,-4079073
2023/10/25,小型臺指期貨,自營商,12029,9863707,10998,9013408,1031,850298,2712,2218230,11641,9518120,-8929,-7299890
2023/10/25,小型臺指期貨,投信,3,2454,0,0,3,2454,170,139043,14,11451,156,127592
2023/10/25,小型臺指期貨,外資及陸資,97326,79773546,93236,76402325,4090,3371221,3348,2738328,4086,3341919,-738,-603591
2023/10/26,小型臺指期貨,自營商,13956,11290902,15098,12217980,-1142,-927079,6042,4853530,14909,11974261,-8867,-7120731
2023/10/26,小型臺指期貨,投信,0,0,0,0,0,0,170,136561,14,11246,156,125315
2023/10/26,小型臺指期貨,外資及陸資,116105,94010791,130896,105959341,-14791,-11948551,804,645853,16285,13081833,-15481,-12435980
2023/10/27,小型臺指期貨,自營商,12273,9903931,10974,8852818,1299,1051113,3938,3180143,11762,9495377,-7824,-6315234
2023/10/27,小型臺指期貨,投信,0,0,0,0,0,0,170,137292,14,11306,156,125986
2023/10/27,小型臺指期貨,外資及陸資,121171,97737128,108830,87774329,12341,9962799,3250,2624699,6378,5150869,-3128,-2526170
