日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01//EN"" ""http://www.w3.org/TR/html4/strict.dtd"">"
80482.0,148861.0,54.07,348719.0,516516.0,67.51,,
94009.0,150710.0,62.38,326973.0,479360.0,68.21,,
168580.0,320751.0,52.56,300515.0,441443.0,68.08,,
233340.0,364680.0,63.98,242163.0,333743.0,72.56,,
124192.0,200615.0,61.91,625888.0,642261.0,97.45,,
133584.0,222901.0,59.93,624194.0,643125.0,97.06,,
176368.0,368568.0,47.85,613419.0,637720.0,96.19,,
210449.0,419391.0,50.18,600145.0,662990.0,90.52,,
181045.0,304047.0,59.55,575649.0,661822.0,86.98,,
166240.0,300235.0,55.37,554049.0,682027.0,81.24,,
125433.0,170270.0,73.67,538104.0,717264.0,75.02,,
108222.0,162041.0,66.79,527174.0,697905.0,75.54,,
111564.0,152475.0,73.17,527174.0,675483.0,78.04,,
111008.0,177486.0,62.54,513071.0,657373.0,78.05,,
85670.0,124108.0,69.03,506700.0,646958.0,78.32,,
173810.0,263048.0,66.08,494573.0,626654.0,78.92,,
165819.0,192538.0,86.12,425458.0,686925.0,61.94,,
119518.0,124328.0,96.13,419312.0,652606.0,64.25,,
278093.0,192638.0,144.36,412491.0,627830.0,65.7,,
141417.0,122394.0,115.54,405443.0,583958.0,69.43,,
125210.0,168051.0,74.51,359295.0,568831.0,63.16,,
93573.0,157526.0,59.4,330046.0,531741.0,62.07,,
59788.0,106215.0,56.29,322274.0,490072.0,65.76,,
61118.0,127678.0,47.87,312174.0,471081.0,66.27,,
127306.0,231467.0,55.0,301428.0,448476.0,67.21,,
115430.0,223758.0,51.59,278669.0,376884.0,73.94,,
144712.0,175003.0,82.69,231430.0,299335.0,77.31,,
192294.0,212179.0,90.63,437756.0,773660.0,56.58,,
305980.0,296892.0,103.06,452948.0,764617.0,59.24,,
136552.0,201460.0,67.78,492168.0,744682.0,66.09,,
113317.0,179272.0,63.21,487419.0,746542.0,65.29,,
134464.0,257348.0,52.25,485907.0,737196.0,65.91,,
90671.0,153632.0,59.02,482358.0,721923.0,66.82,,
115152.0,184734.0,62.33,471686.0,700793.0,67.31,,
111568.0,207686.0,53.72,471745.0,682817.0,69.09,,
180954.0,304799.0,59.37,457086.0,665371.0,68.7,,
102252.0,174840.0,58.48,440650.0,661326.0,66.63,,
71651.0,141028.0,50.81,430343.0,632675.0,68.02,,
207418.0,360738.0,57.5,386483.0,518322.0,74.56,,
137735.0,267760.0,51.44,359891.0,528388.0,68.11,,
123913.0,155704.0,79.58,332001.0,508305.0,65.32,,
149108.0,202963.0,73.47,321621.0,488017.0,65.9,,
258245.0,290337.0,88.95,307671.0,461649.0,66.65,,
239376.0,285868.0,83.74,316581.0,434295.0,72.9,,
260306.0,234016.0,111.23,291415.0,358488.0,81.29,,
139994.0,164008.0,85.36,191163.0,256716.0,74.46,,
239343.0,277175.0,86.35,464967.0,759342.0,61.23,,
115873.0,120297.0,96.32,456481.0,772814.0,59.07,,
342630.0,317643.0,107.87,468271.0,771606.0,60.69,,
205772.0,186075.0,110.59,517820.0,739256.0,70.05,,
