name,start,end,n_days,ann_ret_pct,ann_vol_pct,sharpe,max_dd_pct,t_stat,exposure_pct,n_trades,trades_per_yr,win_rate_pct,avg_trade_pct,profit_factor,total_cost_pct,slippage_pts
foreign_level_lo,1998-07-22,2026-07-31,6956,0.24,0.71,0.334,-1.47,1.81,0.5,12,0.4,41.7,0.596,4.49,0.24,1.0
foreign_level_lo,1998-07-22,2026-07-31,6956,0.23,0.71,0.327,-1.53,1.78,0.5,12,0.4,41.7,0.59,4.39,0.38,2.0
pcr_oi_ls,1998-07-22,2026-07-31,6956,4.06,17.31,0.234,-61.73,1.7,61.5,530,18.3,45.8,0.308,1.32,7.84,0.0
pcr_oi_ls,1998-07-22,2026-07-31,6956,3.49,17.31,0.201,-63.75,1.53,61.5,530,18.3,45.8,0.286,1.29,23.81,1.0
pcr_oi_ls,1998-07-22,2026-07-31,6956,2.92,17.31,0.169,-65.67,1.36,61.5,530,18.3,45.7,0.265,1.27,39.77,2.0
basis_z120_ls,1998-07-22,2026-07-31,6956,8.97,13.61,0.659,-27.89,3.77,29.9,1007,34.7,58.3,0.275,1.49,12.09,0.0
basis_z120_ls,1998-07-22,2026-07-31,6956,8.0,13.61,0.588,-28.65,3.41,29.9,1007,34.7,57.5,0.26,1.46,37.97,1.0
basis_z120_ls,1998-07-22,2026-07-31,6956,7.04,13.61,0.518,-29.4,3.06,29.9,1007,34.7,56.9,0.246,1.43,63.85,2.0
basis_z120_nodiv_ls,1998-07-22,2026-07-31,6956,4.66,10.74,0.434,-26.09,2.57,17.2,664,22.9,56.3,0.225,1.41,7.93,0.0
basis_z120_nodiv_ls,1998-07-22,2026-07-31,6956,4.05,10.74,0.377,-27.16,2.28,17.2,664,22.9,55.4,0.211,1.38,24.88,1.0
basis_z120_nodiv_ls,1998-07-22,2026-07-31,6956,3.44,10.74,0.32,-28.26,1.98,17.2,664,22.9,55.1,0.197,1.35,41.83,2.0
mtx_retail_z120_ls,1998-07-22,2026-07-31,6956,-0.11,3.89,-0.029,-17.9,-0.05,2.3,71,2.4,49.3,-0.019,0.97,0.53,0.0
mtx_retail_z120_ls,1998-07-22,2026-07-31,6956,-0.14,3.89,-0.036,-18.17,-0.09,2.3,71,2.4,49.3,-0.025,0.97,1.26,1.0
mtx_retail_z120_ls,1998-07-22,2026-07-31,6956,-0.16,3.89,-0.042,-18.43,-0.12,2.3,71,2.4,49.3,-0.03,0.96,1.98,2.0
overnight_long,1998-07-22,2026-07-31,6956,6.73,14.55,0.463,-56.93,2.8,100.0,6955,240.0,53.8,0.0316,,77.94,0.0
overnight_long,1998-07-22,2026-07-31,6956,0.75,14.56,0.052,-78.51,0.67,100.0,6955,240.0,52.1,0.0076,,245.0,1.0
overnight_long,1998-07-22,2026-07-31,6956,-4.89,14.57,-0.336,-93.5,-1.46,100.0,6955,240.0,50.7,-0.0165,0.0,412.06,2.0
intraday_short,1998-07-22,2026-07-31,6956,-6.16,18.4,-0.335,-88.02,-1.36,100.0,6955,240.0,48.1,-0.0194,0.0,77.94,0.0
intraday_short,1998-07-22,2026-07-31,6956,-11.42,18.4,-0.62,-97.69,-3.05,100.0,6955,240.0,47.2,-0.0434,0.0,245.0,1.0
intraday_short,1998-07-22,2026-07-31,6956,-16.38,18.4,-0.89,-99.56,-4.74,100.0,6955,240.0,46.1,-0.0675,0.0,412.06,2.0
