name,start,end,n_days,cagr_pct,ann_vol_pct,sharpe,max_dd_pct,t_stat,exposure_pct,n_trades,trades_per_yr,win_rate_pct,avg_trade_pct,profit_factor,total_cost_pct
ma_50_200_ls [1999-04-21..2007-12-31],1999-04-21,2007-12-31,2194,0.93,27.74,0.173,-65.52,0.51,100.0,14,1.6,42.9,1.521,1.32,5.4
ma_50_200_ls [2008-01-01..2011-12-31],2008-01-02,2011-12-30,998,-6.6,28.78,-0.093,-46.46,-0.19,100.0,8,2.0,37.5,-2.366,0.68,2.2
ma_50_200_ls [2012-01-01..2015-12-31],2012-01-02,2015-12-31,988,-5.25,14.01,-0.315,-36.35,-0.63,100.0,7,1.8,14.3,-2.076,0.69,1.92
ma_50_200_ls [2016-01-01..2019-12-31],2016-01-04,2019-12-31,979,6.98,13.22,0.577,-25.17,1.15,100.0,4,1.0,50.0,8.174,3.18,1.54
ma_50_200_ls [2020-01-01..2022-12-31],2020-01-02,2022-12-30,735,5.09,20.63,0.344,-30.62,0.59,100.0,4,1.3,50.0,7.394,1.94,0.87
ma_50_200_ls [2023-01-01..2026-07-31],2023-01-03,2026-07-31,862,19.67,23.65,0.878,-30.58,1.64,100.0,4,1.2,50.0,22.323,4.92,0.74
ma_50_200_lo [1999-04-21..2007-12-31],1999-04-21,2007-12-31,2194,3.79,19.82,0.287,-28.46,0.85,64.0,7,0.8,57.1,6.119,3.34,3.07
ma_50_200_lo [2008-01-01..2011-12-31],2008-01-02,2011-12-30,998,1.24,16.23,0.157,-25.78,0.31,59.7,4,1.0,50.0,2.967,1.49,1.18
ma_50_200_lo [2012-01-01..2015-12-31],2012-01-02,2015-12-31,988,1.78,11.2,0.213,-17.1,0.43,77.7,3,0.8,33.3,4.081,1.64,1.4
ma_50_200_lo [2016-01-01..2019-12-31],2016-01-04,2019-12-31,979,11.38,11.78,0.974,-15.78,1.94,83.6,2,0.5,100.0,23.807,,1.24
ma_50_200_lo [2020-01-01..2022-12-31],2020-01-02,2022-12-30,735,9.83,17.41,0.626,-29.96,1.08,70.2,2,0.7,50.0,20.709,3.53,0.58
ma_50_200_lo [2023-01-01..2026-07-31],2023-01-03,2026-07-31,862,29.37,21.14,1.325,-20.73,2.47,89.1,2,0.6,100.0,57.282,,0.63
donchian_20_10_ls [1998-08-17..2007-12-31],1998-08-17,2007-12-31,2374,-3.27,24.53,-0.013,-53.27,-0.04,76.7,78,8.1,33.3,0.018,1.01,7.3
donchian_20_10_ls [2008-01-01..2011-12-31],2008-01-02,2011-12-30,998,-1.6,23.97,0.053,-36.39,0.11,73.0,36,8.9,30.6,0.003,1.0,2.7
donchian_20_10_ls [2012-01-01..2015-12-31],2012-01-02,2015-12-31,988,-2.05,12.35,-0.106,-24.79,-0.21,77.5,38,9.5,39.5,-0.29,0.77,2.79
donchian_20_10_ls [2016-01-01..2019-12-31],2016-01-04,2019-12-31,979,0.46,11.48,0.097,-29.41,0.19,79.6,34,8.6,38.2,0.156,1.11,2.09
donchian_20_10_ls [2020-01-01..2022-12-31],2020-01-02,2022-12-30,735,13.38,18.57,0.77,-27.91,1.32,75.1,22,7.4,45.5,1.969,2.28,0.98
donchian_20_10_ls [2023-01-01..2026-07-31],2023-01-03,2026-07-31,862,8.55,21.82,0.485,-28.43,0.9,81.4,29,8.3,34.5,1.141,1.58,1.01
donchian_55_20_ls [1998-09-30..2007-12-31],1998-09-30,2007-12-31,2339,-5.82,23.2,-0.142,-49.36,-0.44,66.8,38,4.0,34.2,-0.914,0.8,5.3
donchian_55_20_ls [2008-01-01..2011-12-31],2008-01-02,2011-12-30,998,8.4,24.86,0.449,-30.75,0.9,66.7,15,3.7,46.7,2.759,2.34,1.8
donchian_55_20_ls [2012-01-01..2015-12-31],2012-01-02,2015-12-31,988,-1.08,11.32,-0.04,-15.82,-0.08,64.7,16,4.0,43.8,-0.147,0.89,1.64
donchian_55_20_ls [2016-01-01..2019-12-31],2016-01-04,2019-12-31,979,1.13,10.71,0.158,-15.47,0.31,62.9,15,3.8,40.0,0.151,1.08,1.41
donchian_55_20_ls [2020-01-01..2022-12-31],2020-01-02,2022-12-30,735,9.17,17.49,0.589,-22.29,1.01,67.1,10,3.4,60.0,3.085,2.65,0.72
donchian_55_20_ls [2023-01-01..2026-07-31],2023-01-03,2026-07-31,862,18.26,20.12,0.934,-21.26,1.74,74.1,12,3.5,58.3,5.695,4.26,0.66
tsmom_60_ls [1998-10-07..2007-12-31],1998-10-07,2007-12-31,2334,-0.36,28.13,0.128,-43.49,0.39,100.0,127,13.5,37.8,0.198,1.11,10.86
tsmom_60_ls [2008-01-01..2011-12-31],2008-01-02,2011-12-30,998,11.78,28.47,0.533,-40.4,1.07,100.0,56,13.9,41.1,1.204,1.72,4.06
tsmom_60_ls [2012-01-01..2015-12-31],2012-01-02,2015-12-31,988,-0.58,14.1,0.029,-24.1,0.06,100.0,37,9.3,40.5,-0.012,0.99,3.03
tsmom_60_ls [2016-01-01..2019-12-31],2016-01-04,2019-12-31,979,7.5,13.31,0.61,-19.57,1.21,100.0,54,13.7,44.4,0.608,1.82,2.97
tsmom_60_ls [2020-01-01..2022-12-31],2020-01-02,2022-12-30,735,2.2,20.52,0.209,-29.51,0.36,100.0,47,15.9,42.6,0.247,1.19,1.82
tsmom_60_ls [2023-01-01..2026-07-31],2023-01-03,2026-07-31,862,12.82,23.6,0.63,-44.53,1.17,100.0,32,9.2,37.5,2.058,2.13,1.16
